20-Nov-2006 06:35:06,guest,"hello venus"
20-Nov-2006 06:35:06,guest,"hello venus"
20-Nov-2006 06:35:28,guest,"hello venus"
20-Nov-2006 06:35:28,guest,"hello venus"
20-Nov-2006 09:06:34,guest,"hello venus"
20-Nov-2006 09:06:34,guest,"hello venus"
20-Nov-2006 09:06:53,guest,"hello venus"
20-Nov-2006 09:06:53,guest,"hello venus"
20-Nov-2006 09:07:04,guest,"hello venus"
20-Nov-2006 09:07:04,guest,"hello venus"
20-Nov-2006 09:08:27,guest,"hello venus"
20-Nov-2006 09:08:27,guest,"hello venus"
20-Nov-2006 09:08:29,guest,"hello venus"
20-Nov-2006 09:08:29,guest,"hello venus"
20-Nov-2006 09:10:40,guest,"hello venus"
20-Nov-2006 09:10:40,guest,"hello venus"
20-Nov-2006 09:10:50,guest,"hello venus"
20-Nov-2006 09:10:50,guest,"hello venus"
20-Nov-2006 09:11:58,guest,"hello venus"
20-Nov-2006 09:11:58,guest,"hello venus"
20-Nov-2006 09:12:11,guest,"hello venus"
20-Nov-2006 09:12:11,guest,"hello venus"
20-Nov-2006 09:12:14,guest,"hello venus"
20-Nov-2006 09:12:14,guest,"hello venus"
20-Nov-2006 09:12:54,guest,"hello venus"
20-Nov-2006 09:12:54,guest,"hello venus"
20-Nov-2006 09:15:12,guest,"hello venus"
20-Nov-2006 09:15:12,guest,"hello venus"
20-Nov-2006 09:15:47,guest,"hello venus"
20-Nov-2006 09:15:47,guest,"hello venus"
21-Nov-2006 06:43:39,guest,"hello venus"
21-Nov-2006 06:43:39,guest,"hello venus"
30-Nov-2006 08:42:02,guest,"hello venus"
30-Nov-2006 08:42:02,guest,"hello venus"
